,dealt_hand,max_hand,max_hand_ev_points,max_hand_max_points,max_hand_median_points,max_hand_stdev_points,median_hand,median_hand_ev_points,median_hand_max_points,median_hand_median_points,median_hand_stdev_points,ev_hand,ev_hand_ev_points,ev_hand_max_points,ev_hand_median_points,ev_hand_stdev_points,max_v_median_diff,max_v_ev_diff,median_v_ev_diff
0,"2H,3H,4H,5H,6H,7H","3H,4H,5H,6H",13.456521739130435,20,12.0,3.344690796133348,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,"3H,4H,5H,6H",13.456521739130435,20,12.0,3.344690796133348,0.9782608695652186,0.0,-0.9782608695652186
1,"2H,3H,4H,5H,6H,8H","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.3818962932274825,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,1.0434782608695645,0.0,-1.0434782608695645
2,"2H,3H,4H,5H,6H,9H","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,9H",13.282608695652174,20,13.0,3.3244083415332777,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.19565217391304301,0.0,-0.19565217391304301
3,"2H,3H,4H,5H,6H,TH","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,TH",13.152173913043478,20,13.0,3.527462993297325,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.32608695652173836,0.0,-0.32608695652173836
4,"2H,3H,4H,5H,6H,JH","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,JH",13.304347826086955,20,13.0,3.5644514318001073,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.17391304347826164,0.0,-0.17391304347826164
5,"2H,3H,4H,5H,6H,QH","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,QH",13.152173913043478,20,13.0,3.527462993297325,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.32608695652173836,0.0,-0.32608695652173836
6,"2H,3H,4H,5H,6H,KH","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,KH",13.152173913043478,20,13.0,3.527462993297325,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.32608695652173836,0.0,-0.32608695652173836
7,"2H,3H,4H,5H,6H,AH","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"4H,5H,6H,AH",13.108695652173912,18,13.0,2.531826401540246,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.36956521739130466,0.0,-0.36956521739130466
8,"2H,3H,4H,5H,6H,2D","3H,4H,5H,6H",13.565217391304348,20,12.5,3.277208662620903,"3H,4H,5H,6H",13.565217391304348,20,12.5,3.277208662620903,"3H,4H,5H,6H",13.565217391304348,20,12.5,3.277208662620903,0.0,0.0,0.0
9,"2H,3H,4H,5H,6H,3D","3H,4H,5H,3D",13.73913043478261,21,12.0,3.2210059340294825,"2H,3H,4H,5H",12.369565217391305,16,12.0,2.3224383321766124,"3H,4H,5H,3D",13.73913043478261,21,12.0,3.2210059340294825,1.3695652173913047,0.0,-1.3695652173913047
