points,hand_card_1,hand_card_2,hand_card_3,hand_card_4,cut_card
0,TS,QS,KS,AD,2H
0,TS,QS,KS,AD,3H
6,TS,QS,KS,AD,4H
6,TS,QS,KS,AD,5H
0,TS,QS,KS,AD,6H
0,TS,QS,KS,AD,7H
0,TS,QS,KS,AD,8H
0,TS,QS,KS,AD,9H
2,TS,QS,KS,AD,TH
4,TS,QS,KS,AD,JH
2,TS,QS,KS,AD,QH
2,TS,QS,KS,AD,KH
2,TS,QS,KS,AD,AH
0,TS,QS,KS,AD,2D
6,TS,QS,KS,AD,4D
6,TS,QS,KS,AD,5D
0,TS,QS,KS,AD,6D
0,TS,QS,KS,AD,7D
0,TS,QS,KS,AD,8D
0,TS,QS,KS,AD,9D
2,TS,QS,KS,AD,TD
4,TS,QS,KS,AD,JD
2,TS,QS,KS,AD,QD
2,TS,QS,KS,AD,KD
0,TS,QS,KS,AD,2S
0,TS,QS,KS,AD,3S
6,TS,QS,KS,AD,4S
6,TS,QS,KS,AD,5S
0,TS,QS,KS,AD,6S
0,TS,QS,KS,AD,7S
0,TS,QS,KS,AD,8S
0,TS,QS,KS,AD,9S
2,TS,QS,KS,AD,AS
0,TS,QS,KS,AD,2C
0,TS,QS,KS,AD,3C
6,TS,QS,KS,AD,4C
6,TS,QS,KS,AD,5C
0,TS,QS,KS,AD,6C
0,TS,QS,KS,AD,7C
0,TS,QS,KS,AD,8C
0,TS,QS,KS,AD,9C
2,TS,QS,KS,AD,TC
4,TS,QS,KS,AD,JC
2,TS,QS,KS,AD,QC
2,TS,QS,KS,AD,KC
2,TS,QS,KS,AD,AC
4,TS,QS,KS,JS,2H
4,TS,QS,KS,JS,3H
4,TS,QS,KS,JS,4H
12,TS,QS,KS,JS,5H
4,TS,QS,KS,JS,6H
4,TS,QS,KS,JS,7H
4,TS,QS,KS,JS,8H
5,TS,QS,KS,JS,9H
14,TS,QS,KS,JS,TH
14,TS,QS,KS,JS,JH
14,TS,QS,KS,JS,QH
14,TS,QS,KS,JS,KH
4,TS,QS,KS,JS,AH
4,TS,QS,KS,JS,2D
4,TS,QS,KS,JS,4D
12,TS,QS,KS,JS,5D
4,TS,QS,KS,JS,6D
4,TS,QS,KS,JS,7D
4,TS,QS,KS,JS,8D
5,TS,QS,KS,JS,9D
14,TS,QS,KS,JS,TD
14,TS,QS,KS,JS,JD
14,TS,QS,KS,JS,QD
14,TS,QS,KS,JS,KD
10,TS,QS,KS,JS,2S
10,TS,QS,KS,JS,3S
10,TS,QS,KS,JS,4S
18,TS,QS,KS,JS,5S
10,TS,QS,KS,JS,6S
10,TS,QS,KS,JS,7S
10,TS,QS,KS,JS,8S
11,TS,QS,KS,JS,9S
10,TS,QS,KS,JS,AS
4,TS,QS,KS,JS,2C
4,TS,QS,KS,JS,3C
4,TS,QS,KS,JS,4C
12,TS,QS,KS,JS,5C
4,TS,QS,KS,JS,6C
4,TS,QS,KS,JS,7C
4,TS,QS,KS,JS,8C
5,TS,QS,KS,JS,9C
14,TS,QS,KS,JS,TC
14,TS,QS,KS,JS,JC
14,TS,QS,KS,JS,QC
14,TS,QS,KS,JS,KC
4,TS,QS,KS,JS,AC
6,TS,QS,KS,3D,2H
2,TS,QS,KS,3D,3H
0,TS,QS,KS,3D,4H
6,TS,QS,KS,3D,5H
0,TS,QS,KS,3D,6H
0,TS,QS,KS,3D,7H
0,TS,QS,KS,3D,8H
0,TS,QS,KS,3D,9H
2,TS,QS,KS,3D,TH
4,TS,QS,KS,3D,JH
2,TS,QS,KS,3D,QH
2,TS,QS,KS,3D,KH
0,TS,QS,KS,3D,AH
6,TS,QS,KS,3D,2D
0,TS,QS,KS,3D,4D
6,TS,QS,KS,3D,5D
0,TS,QS,KS,3D,6D
0,TS,QS,KS,3D,7D
0,TS,QS,KS,3D,8D
0,TS,QS,KS,3D,9D
2,TS,QS,KS,3D,TD
4,TS,QS,KS,3D,JD
2,TS,QS,KS,3D,QD
2,TS,QS,KS,3D,KD
6,TS,QS,KS,3D,2S
2,TS,QS,KS,3D,3S
0,TS,QS,KS,3D,4S
6,TS,QS,KS,3D,5S
0,TS,QS,KS,3D,6S
0,TS,QS,KS,3D,7S
0,TS,QS,KS,3D,8S
0,TS,QS,KS,3D,9S
0,TS,QS,KS,3D,AS
6,TS,QS,KS,3D,2C
2,TS,QS,KS,3D,3C
0,TS,QS,KS,3D,4C
6,TS,QS,KS,3D,5C
0,TS,QS,KS,3D,6C
0,TS,QS,KS,3D,7C
0,TS,QS,KS,3D,8C
0,TS,QS,KS,3D,9C
2,TS,QS,KS,3D,TC
4,TS,QS,KS,3D,JC
2,TS,QS,KS,3D,QC
2,TS,QS,KS,3D,KC
0,TS,QS,KS,3D,AC
3,TS,QS,AD,JS,2H
3,TS,QS,AD,JS,3H
9,TS,QS,AD,JS,4H
9,TS,QS,AD,JS,5H
3,TS,QS,AD,JS,6H
3,TS,QS,AD,JS,7H
3,TS,QS,AD,JS,8H
4,TS,QS,AD,JS,9H
8,TS,QS,AD,JS,TH
8,TS,QS,AD,JS,JH
8,TS,QS,AD,JS,QH
4,TS,QS,AD,JS,KH
5,TS,QS,AD,JS,AH
3,TS,QS,AD,JS,2D
9,TS,QS,AD,JS,4D
9,TS,QS,AD,JS,5D
3,TS,QS,AD,JS,6D
3,TS,QS,AD,JS,7D
3,TS,QS,AD,JS,8D
4,TS,QS,AD,JS,9D
8,TS,QS,AD,JS,TD
8,TS,QS,AD,JS,JD
8,TS,QS,AD,JS,QD
4,TS,QS,AD,JS,KD
4,TS,QS,AD,JS,2S
4,TS,QS,AD,JS,3S
10,TS,QS,AD,JS,4S
10,TS,QS,AD,JS,5S
4,TS,QS,AD,JS,6S
4,TS,QS,AD,JS,7S
4,TS,QS,AD,JS,8S
5,TS,QS,AD,JS,9S
6,TS,QS,AD,JS,AS
3,TS,QS,AD,JS,2C
3,TS,QS,AD,JS,3C
9,TS,QS,AD,JS,4C
9,TS,QS,AD,JS,5C
3,TS,QS,AD,JS,6C
3,TS,QS,AD,JS,7C
3,TS,QS,AD,JS,8C
4,TS,QS,AD,JS,9C
8,TS,QS,AD,JS,TC
8,TS,QS,AD,JS,JC
8,TS,QS,AD,JS,QC
4,TS,QS,AD,JS,KC
5,TS,QS,AD,JS,AC
7,TS,QS,AD,3D,2H
2,TS,QS,AD,3D,3H
4,TS,QS,AD,3D,4H
4,TS,QS,AD,3D,5H
0,TS,QS,AD,3D,6H
0,TS,QS,AD,3D,7H
0,TS,QS,AD,3D,8H
0,TS,QS,AD,3D,9H
2,TS,QS,AD,3D,TH
3,TS,QS,AD,3D,JH
2,TS,QS,AD,3D,QH
0,TS,QS,AD,3D,KH
6,TS,QS,AD,3D,AH
7,TS,QS,AD,3D,2D
4,TS,QS,AD,3D,4D
4,TS,QS,AD,3D,5D
0,TS,QS,AD,3D,6D
0,TS,QS,AD,3D,7D
0,TS,QS,AD,3D,8D
0,TS,QS,AD,3D,9D
2,TS,QS,AD,3D,TD
3,TS,QS,AD,3D,JD
2,TS,QS,AD,3D,QD
0,TS,QS,AD,3D,KD
7,TS,QS,AD,3D,2S
2,TS,QS,AD,3D,3S
4,TS,QS,AD,3D,4S
4,TS,QS,AD,3D,5S
0,TS,QS,AD,3D,6S
0,TS,QS,AD,3D,7S
0,TS,QS,AD,3D,8S
0,TS,QS,AD,3D,9S
6,TS,QS,AD,3D,AS
7,TS,QS,AD,3D,2C
2,TS,QS,AD,3D,3C
4,TS,QS,AD,3D,4C
4,TS,QS,AD,3D,5C
0,TS,QS,AD,3D,6C
0,TS,QS,AD,3D,7C
0,TS,QS,AD,3D,8C
0,TS,QS,AD,3D,9C
2,TS,QS,AD,3D,TC
3,TS,QS,AD,3D,JC
2,TS,QS,AD,3D,QC
0,TS,QS,AD,3D,KC
6,TS,QS,AD,3D,AC
9,TS,QS,JS,3D,2H
5,TS,QS,JS,3D,3H
3,TS,QS,JS,3D,4H
9,TS,QS,JS,3D,5H
3,TS,QS,JS,3D,6H
3,TS,QS,JS,3D,7H
3,TS,QS,JS,3D,8H
4,TS,QS,JS,3D,9H
8,TS,QS,JS,3D,TH
8,TS,QS,JS,3D,JH
8,TS,QS,JS,3D,QH
4,TS,QS,JS,3D,KH
3,TS,QS,JS,3D,AH
9,TS,QS,JS,3D,2D
3,TS,QS,JS,3D,4D
9,TS,QS,JS,3D,5D
3,TS,QS,JS,3D,6D
3,TS,QS,JS,3D,7D
3,TS,QS,JS,3D,8D
4,TS,QS,JS,3D,9D
8,TS,QS,JS,3D,TD
8,TS,QS,JS,3D,JD
8,TS,QS,JS,3D,QD
4,TS,QS,JS,3D,KD
10,TS,QS,JS,3D,2S
6,TS,QS,JS,3D,3S
4,TS,QS,JS,3D,4S
10,TS,QS,JS,3D,5S
4,TS,QS,JS,3D,6S
4,TS,QS,JS,3D,7S
4,TS,QS,JS,3D,8S
5,TS,QS,JS,3D,9S
4,TS,QS,JS,3D,AS
9,TS,QS,JS,3D,2C
5,TS,QS,JS,3D,3C
3,TS,QS,JS,3D,4C
9,TS,QS,JS,3D,5C
3,TS,QS,JS,3D,6C
3,TS,QS,JS,3D,7C
3,TS,QS,JS,3D,8C
4,TS,QS,JS,3D,9C
8,TS,QS,JS,3D,TC
8,TS,QS,JS,3D,JC
8,TS,QS,JS,3D,QC
4,TS,QS,JS,3D,KC
3,TS,QS,JS,3D,AC
0,TS,KS,AD,JS,2H
0,TS,KS,AD,JS,3H
6,TS,KS,AD,JS,4H
6,TS,KS,AD,JS,5H
0,TS,KS,AD,JS,6H
0,TS,KS,AD,JS,7H
0,TS,KS,AD,JS,8H
3,TS,KS,AD,JS,9H
2,TS,KS,AD,JS,TH
2,TS,KS,AD,JS,JH
4,TS,KS,AD,JS,QH
2,TS,KS,AD,JS,KH
2,TS,KS,AD,JS,AH
0,TS,KS,AD,JS,2D
6,TS,KS,AD,JS,4D
6,TS,KS,AD,JS,5D
0,TS,KS,AD,JS,6D
0,TS,KS,AD,JS,7D
0,TS,KS,AD,JS,8D
3,TS,KS,AD,JS,9D
2,TS,KS,AD,JS,TD
2,TS,KS,AD,JS,JD
4,TS,KS,AD,JS,QD
2,TS,KS,AD,JS,KD
1,TS,KS,AD,JS,2S
1,TS,KS,AD,JS,3S
7,TS,KS,AD,JS,4S
7,TS,KS,AD,JS,5S
1,TS,KS,AD,JS,6S
1,TS,KS,AD,JS,7S
1,TS,KS,AD,JS,8S
4,TS,KS,AD,JS,9S
3,TS,KS,AD,JS,AS
0,TS,KS,AD,JS,2C
0,TS,KS,AD,JS,3C
6,TS,KS,AD,JS,4C
6,TS,KS,AD,JS,5C
0,TS,KS,AD,JS,6C
0,TS,KS,AD,JS,7C
0,TS,KS,AD,JS,8C
3,TS,KS,AD,JS,9C
2,TS,KS,AD,JS,TC
2,TS,KS,AD,JS,JC
4,TS,KS,AD,JS,QC
2,TS,KS,AD,JS,KC
2,TS,KS,AD,JS,AC
7,TS,KS,AD,3D,2H
2,TS,KS,AD,3D,3H
4,TS,KS,AD,3D,4H
4,TS,KS,AD,3D,5H
0,TS,KS,AD,3D,6H
0,TS,KS,AD,3D,7H
0,TS,KS,AD,3D,8H
0,TS,KS,AD,3D,9H
2,TS,KS,AD,3D,TH
0,TS,KS,AD,3D,JH
0,TS,KS,AD,3D,QH
2,TS,KS,AD,3D,KH
6,TS,KS,AD,3D,AH
7,TS,KS,AD,3D,2D
4,TS,KS,AD,3D,4D
4,TS,KS,AD,3D,5D
0,TS,KS,AD,3D,6D
